asset,entry_ts,entry_price,direction,take_profit,stop_loss,position_usd,leverage,confidence,entry_confidence,breakeven_activated,rr_ratio,max_hold_bar,trail_active,trail_peak,trail_stop,exit_ts,exit_price,outcome,pnl_usd,fold
ADA,2025-02-09 12:00:00+00:00,0.6941,1.0,0.7527411371046228,0.6715319348116143,13049.947737548595,2.0,0.8738119006156921,0.8738119006156921,False,2.6,2025-02-14 16:00:00+00:00,True,0.7177,0.709467981,2025-02-10 12:00:00+00:00,0.709467981,trailing_sl_hit,271.9723232093596,3
TRX,2025-02-10 16:00:00+00:00,0.2432,-1.0,0.2210756,0.24591952142857143,32964.834747883186,5.0,0.970415472984314,0.970415472984314,False,8.14,2025-02-15 20:00:00+00:00,False,,,2025-02-10 20:00:00+00:00,0.2432,mss_invalidation,-42.85428517224814,3
UNI,2025-02-11 00:00:00+00:00,9.668,-1.0,8.121352,9.858113285714285,19746.760134850727,3.0,0.9490551352500916,0.9490551352500916,False,8.14,2025-02-16 04:00:00+00:00,False,,,2025-02-11 04:00:00+00:00,9.668,mss_invalidation,-25.670788175305944,3
ADA,2025-02-11 04:00:00+00:00,0.802,-1.0,0.6503428,0.8206416357142857,32879.17840619874,5.0,0.9875513911247253,0.9875513911247253,False,8.14,2025-02-16 08:00:00+00:00,True,0.7917,0.800780799,2025-02-11 08:00:00+00:00,0.800780799,trailing_sl_hit,7.240019682936446,3
TRX,2025-02-10 20:00:00+00:00,0.2462,-1.0,0.22432280000000002,0.24888913571428573,19746.760134850727,3.0,0.9573787450790405,0.9573787450790405,False,8.14,2025-02-16 00:00:00+00:00,True,0.2356,0.23830233200000003,2025-02-12 04:00:00+00:00,0.23830233200000003,trailing_sl_hit,607.7709487080639,3
DOT,2025-02-12 16:00:00+00:00,5.286,-1.0,4.221392,5.416861142857142,13459.176846674998,2.0,0.8725053668022156,0.8725053668022156,False,8.14,2025-02-17 20:00:00+00:00,True,5.067,5.12511849,2025-02-13 04:00:00+00:00,5.12511849,trailing_sl_hit,392.13846443343226,3
DOT,2025-02-15 12:00:00+00:00,5.049,1.0,5.419152222958036,4.906546768193819,0.0,0.0,0.7229579091072083,0.7229579091072083,False,2.6,2025-02-20 16:00:00+00:00,True,5.126,5.067204780000001,2025-02-15 16:00:00+00:00,5.067204780000001,trailing_sl_hit,0.0,3
AVAX,2025-02-16 12:00:00+00:00,25.14,1.0,26.930097869509538,24.45108011530191,0.0,0.0,0.7182078957557678,0.7182078957557678,False,2.6,2025-02-21 16:00:00+00:00,True,25.95,25.6523535,2025-02-17 12:00:00+00:00,25.6523535,trailing_sl_hit,0.0,3
SUI,2025-02-18 04:00:00+00:00,3.0822,-1.0,2.5482892,3.1478280785714285,34138.11519722929,5.0,0.9878541827201843,0.9878541827201843,False,8.14,2025-02-23 08:00:00+00:00,True,3.0088,3.043310936,2025-02-18 08:00:00+00:00,3.043310936,trailing_sl_hit,386.3515341266763,3
ATOM,2025-02-18 08:00:00+00:00,4.617,1.0,5.000987699951867,4.469222179310896,6924.210922977526,1.0,0.8133530616760254,0.8133530616760254,False,2.6,2025-02-23 12:00:00+00:00,True,4.682,4.628297460000001,2025-02-18 12:00:00+00:00,4.628297460000001,trailing_sl_hit,7.941561523305774,3
NEAR,2025-02-18 12:00:00+00:00,3.079,-1.0,2.3575880000000002,3.167675642857143,20778.588940075057,3.0,0.9535037875175476,0.9535037875175476,False,8.14,2025-02-23 16:00:00+00:00,True,3.026,3.06070822,2025-02-18 16:00:00+00:00,3.06070822,trailing_sl_hit,96.42965886711656,3
SUI,2025-02-18 16:00:00+00:00,2.9927,-1.0,2.3896968000000003,3.066820885714286,34751.51864037566,5.0,0.9864313006401062,0.9864313006401062,False,8.14,2025-02-23 20:00:00+00:00,False,,,2025-02-19 00:00:00+00:00,3.066820885714286,sl,-905.8757885276572,3
ATOM,2025-02-18 16:00:00+00:00,4.501,1.0,4.900100297898976,4.3474060899157045,13900.607456150263,2.0,0.8541808128356934,0.8541808128356934,False,2.6,2025-02-23 20:00:00+00:00,True,4.707,4.65301071,2025-02-19 12:00:00+00:00,4.65301071,trailing_sl_hit,451.3895988519265,3
APT,2025-02-19 08:00:00+00:00,6.47,-1.0,4.999160000000001,6.650795,13447.669561886434,2.0,0.910420298576355,0.910420298576355,False,8.14,2025-02-24 12:00:00+00:00,True,6.23,6.301458100000001,2025-02-19 20:00:00+00:00,6.301458100000001,trailing_sl_hit,332.8264961124356,3
ICP,2025-02-21 08:00:00+00:00,7.331,-1.0,6.631571428571428,7.517514285714286,10379.833207026462,2.0,0.8773378729820251,0.8773378729820251,False,3.75,2025-02-26 12:00:00+00:00,True,7.101,7.182448470000001,2025-02-21 12:00:00+00:00,7.182448470000001,trailing_sl_hit,196.83770012763077,3
UNI,2025-02-21 16:00:00+00:00,8.638,-1.0,6.873404000000001,8.854903357142858,6969.098229716215,1.0,0.8191022276878357,0.8191022276878357,False,8.14,2025-02-26 20:00:00+00:00,False,,,2025-02-22 08:00:00+00:00,8.854903357142858,sl,-184.05644755088787,3
LINK,2025-02-24 00:00:00+00:00,16.83,-1.0,14.774120000000003,17.082707857142854,34615.420589142464,5.0,0.9781910181045532,0.9781910181045532,False,8.14,2025-03-01 04:00:00+00:00,True,16.48,16.6690256,2025-02-24 04:00:00+00:00,16.6690256,trailing_sl_hit,286.0870928707609,3
DOT,2025-02-24 04:00:00+00:00,4.799,1.0,5.098059156558966,4.683906963376835,34973.02945523092,5.0,0.9681618213653564,0.9681618213653564,False,2.6,2025-03-01 08:00:00+00:00,False,,,2025-02-24 12:00:00+00:00,4.683906963376835,sl,-884.213044129255,3
UNI,2025-02-24 12:00:00+00:00,8.334,-1.0,7.123131999999998,8.482839357142858,33867.76315006935,5.0,0.973256528377533,0.973256528377533,False,8.14,2025-03-01 16:00:00+00:00,True,8.076,8.16863172,2025-02-24 16:00:00+00:00,8.16863172,trailing_sl_hit,627.9965946788866,3
ATOM,2025-02-24 12:00:00+00:00,4.66,1.0,4.961613398465518,4.543923962352295,20320.65789004161,3.0,0.9389430284500122,0.9389430284500122,False,2.6,2025-03-01 16:00:00+00:00,False,,,2025-02-24 16:00:00+00:00,4.659,mss_invalidation,-30.777511456635295,3
FIL,2025-02-24 16:00:00+00:00,3.172,1.0,3.4031588925430865,3.0830384072791763,34614.28700409716,5.0,0.9851427674293518,0.9851427674293518,False,2.6,2025-03-01 20:00:00+00:00,True,3.213,3.17614689,2025-02-24 20:00:00+00:00,3.17614689,trailing_sl_hit,0.2541509282225924,3
ATOM,2025-02-24 16:00:00+00:00,4.558,-1.0,3.9321720000000004,4.6349265,20768.572202458297,3.0,0.9429112672805786,0.9429112672805786,False,8.14,2025-03-01 20:00:00+00:00,True,4.265,4.3139195500000005,2025-02-24 20:00:00+00:00,4.3139195500000005,trailing_sl_hit,1085.1558471489805,3
LINK,2025-02-24 20:00:00+00:00,15.26,-1.0,12.367760000000004,15.615512857142857,21582.6297010162,3.0,0.9597145915031433,0.9597145915031433,False,8.14,2025-03-02 00:00:00+00:00,True,14.84,15.010214800000002,2025-02-25 00:00:00+00:00,15.010214800000002,trailing_sl_hit,325.2205287277504,3
ATOM,2025-02-24 20:00:00+00:00,4.358,-1.0,3.6093960000000003,4.450018071428571,21582.6297010162,3.0,0.9547268152236938,0.9547268152236938,False,8.14,2025-03-02 00:00:00+00:00,True,4.25,4.2987475,2025-02-25 00:00:00+00:00,4.2987475,trailing_sl_hit,265.38562093880546,3
ICP,2025-02-25 00:00:00+00:00,6.31,-1.0,5.511892857142857,6.522828571428571,16519.188234949586,3.0,0.923210859298706,0.923210859298706,False,3.75,2025-03-02 04:00:00+00:00,True,5.937,6.00509739,2025-02-25 04:00:00+00:00,6.00509739,trailing_sl_hit,776.7411579756129,3
UNI,2025-02-25 04:00:00+00:00,7.687,-1.0,6.0109840000000005,7.893015142857143,22608.14018174783,3.0,0.9613942503929138,0.9613942503929138,False,8.14,2025-03-02 08:00:00+00:00,True,7.583,7.669977010000001,2025-02-25 08:00:00+00:00,7.669977010000001,trailing_sl_hit,20.675522125959255,3
TRX,2025-02-25 04:00:00+00:00,0.2312,-1.0,0.2047084,0.2344563357142857,15072.093454498552,2.0,0.8648861050605774,0.8648861050605774,False,8.14,2025-03-02 08:00:00+00:00,True,0.2269,0.229502543,2025-02-25 08:00:00+00:00,0.229502543,trailing_sl_hit,91.06471509648982,3
