asset,entry_ts,entry_price,direction,take_profit,stop_loss,position_usd,leverage,confidence,entry_confidence,breakeven_activated,rr_ratio,max_hold_bar,exit_ts,exit_price,outcome,pnl_usd,fold
LINK,2023-11-26 04:00:00+00:00,15.109,-1.0,13.533924,15.0306,3388.969200604358,2.0,0.8717691898345947,0.8717691898345947,True,8.14,2023-12-01 08:00:00+00:00,2023-12-01 08:00:00+00:00,14.8,time,65.92015006518056,1
ARB,2023-11-27 08:00:00+00:00,1.0019,1.0,1.0586041703254865,1.005455,8368.854561278757,5.0,0.9799329042434692,0.9799329042434692,True,2.6,2023-12-02 12:00:00+00:00,2023-12-02 08:00:00+00:00,1.0586041703254865,tp,465.28016677016643,1
FIL,2023-11-30 12:00:00+00:00,4.376,1.0,4.611415962387342,4.39045,3409.9273495632087,2.0,0.9181968569755554,0.9181968569755554,True,2.6,2023-12-05 16:00:00+00:00,2023-12-02 12:00:00+00:00,4.611415962387342,tp,180.03416055453664,1
ARB,2023-12-02 08:00:00+00:00,1.0672,-1.0,0.983564,1.0774804999999998,3675.527507980882,2.0,0.8726792931556702,0.8726792931556702,False,8.14,2023-12-07 12:00:00+00:00,2023-12-02 12:00:00+00:00,1.0672,mss_invalidation,-4.7781857603751465,1
ATOM,2023-12-02 16:00:00+00:00,9.678,-1.0,8.880368,9.776044571428573,3763.155495377963,2.0,0.9032956957817078,0.9032956957817078,False,8.14,2023-12-07 20:00:00+00:00,2023-12-04 04:00:00+00:00,9.619,mss_invalidation,18.049226046471937,1
POL,2023-12-01 16:00:00+00:00,0.7964,1.0,0.8411418040631278,0.799475,5164.331136893698,3.0,0.9207413196563721,0.9207413196563721,True,2.6,2023-12-06 20:00:00+00:00,2023-12-04 12:00:00+00:00,0.799475,sl,13.226497907206928,1
ICP,2023-12-04 04:00:00+00:00,5.029,-1.0,4.593142857142857,5.1452285714285715,4243.702621951348,3.0,0.9609459042549133,0.9609459042549133,False,3.75,2023-12-09 08:00:00+00:00,2023-12-06 00:00:00+00:00,5.1452285714285715,sl,-103.59585363862001,1
ADA,2023-12-06 08:00:00+00:00,0.4371,-1.0,0.37052080000000004,0.4452838857142857,5590.493145803239,3.0,0.9629688858985901,0.9629688858985901,False,8.14,2023-12-11 12:00:00+00:00,2023-12-06 12:00:00+00:00,0.4369,mss_invalidation,-4.709648343809769,1
AVAX,2023-12-06 00:00:00+00:00,26.7,-1.0,20.285159999999998,27.488509285714287,1863.4977152677461,1.0,0.8090122938156128,0.8090122938156128,False,8.14,2023-12-11 04:00:00+00:00,2023-12-06 16:00:00+00:00,25.8,mss_invalidation,60.391982698278106,1
ARB,2023-12-02 16:00:00+00:00,1.1093,-1.0,1.0056820000000002,1.10294,3763.155495377963,2.0,0.8775467276573181,0.8775467276573181,True,8.14,2023-12-07 20:00:00+00:00,2023-12-07 12:00:00+00:00,1.10294,sl,16.683367927768813,1
LINK,2023-12-02 16:00:00+00:00,16.106,-1.0,14.319980000000003,16.030700000000003,5644.733243066944,3.0,0.921399712562561,0.921399712562561,True,8.14,2023-12-07 20:00:00+00:00,2023-12-07 20:00:00+00:00,15.691,time,139.80195096609654,1
ADA,2023-12-08 00:00:00+00:00,0.4635,-1.0,0.38831000000000004,0.4727423214285715,9582.698142899148,5.0,0.9760106801986694,0.9760106801986694,False,8.14,2023-12-13 04:00:00+00:00,2023-12-08 04:00:00+00:00,0.4636,mss_invalidation,-14.524972125768482,1
DOT,2023-12-06 12:00:00+00:00,6.131,-1.0,5.090287999999999,6.258923857142857,5586.960909545381,3.0,0.9656149744987488,0.9656149744987488,False,8.14,2023-12-11 16:00:00+00:00,2023-12-08 08:00:00+00:00,6.232,mss_invalidation,-99.30073501899085,1
ADA,2023-12-08 04:00:00+00:00,0.4747,-1.0,0.39436000000000004,0.48457535714285715,9564.541927741937,5.0,0.9901114106178284,0.9901114106178284,False,8.14,2023-12-13 08:00:00+00:00,2023-12-08 08:00:00+00:00,0.4747,mss_invalidation,-12.433904506064517,1
POL,2023-12-08 08:00:00+00:00,0.8774,-1.0,0.749062,0.89317525,9424.873628335617,5.0,0.975730299949646,0.975730299949646,False,8.14,2023-12-13 12:00:00+00:00,2023-12-08 16:00:00+00:00,0.875,mss_invalidation,13.528034362950663,1
