asset,entry_ts,entry_price,direction,take_profit,stop_loss,position_usd,leverage,confidence,entry_confidence,breakeven_activated,rr_ratio,max_hold_bar,trail_active,trail_peak,trail_stop,exit_ts,exit_price,outcome,pnl_usd
ATOM,2025-12-27 20:00:00+00:00,2.08,-1.0,1.8801799999999995,2.104561785714286,6113.609604649508,3.0,0.9512271881103516,0.9512271881103516,False,8.14,2026-01-02 00:00:00+00:00,False,,,2025-12-28 04:00:00+00:00,2.104561785714286,sl,-80.14056222171811
NEAR,2025-12-27 20:00:00+00:00,1.595,-1.0,1.355216,1.6244741428571428,4075.7397364330054,2.0,0.9148344993591309,0.9148344993591309,False,8.14,2026-01-02 00:00:00+00:00,True,1.569,1.5869964300000001,2025-12-28 12:00:00+00:00,1.5869964300000001,trailing_sl_hit,15.153242594876902
FIL,2025-12-28 04:00:00+00:00,1.367,-1.0,1.1638840000000001,1.3919669285714285,4035.6694553221464,2.0,0.8825283646583557,0.8825283646583557,False,8.14,2026-01-02 08:00:00+00:00,True,1.335,1.35031245,2025-12-28 12:00:00+00:00,1.35031245,trailing_sl_hit,44.01876198252204
LINK,2025-12-29 00:00:00+00:00,12.94,-1.0,11.9512,13.061542857142857,6097.883186416269,3.0,0.9271663427352905,0.9271663427352905,False,8.14,2026-01-03 04:00:00+00:00,True,12.25,12.390507500000002,2025-12-29 12:00:00+00:00,12.390507500000002,trailing_sl_hit,251.01719365146317
ICP,2025-12-29 20:00:00+00:00,2.889,-1.0,2.6128928571428567,2.962628571428571,4714.60956124115,3.0,0.9630371332168579,0.9630371332168579,False,3.75,2026-01-04 00:00:00+00:00,True,2.852,2.88471244,2025-12-30 00:00:00+00:00,2.88471244,trailing_sl_hit,0.8679516238286762
POL,2025-12-29 00:00:00+00:00,0.1094,-1.0,0.1011188,0.10904,4065.255457610846,2.0,0.8806055784225464,0.8806055784225464,True,8.14,2026-01-03 04:00:00+00:00,True,0.1025,0.10367567500000001,2025-12-30 08:00:00+00:00,0.10367567500000001,trailing_sl_hit,207.42854493790443
ICP,2025-12-30 00:00:00+00:00,2.891,1.0,3.1748214285714287,2.815314285714286,4715.097784029553,3.0,0.9521599411964417,0.9521599411964417,False,3.75,2026-01-04 04:00:00+00:00,True,2.948,2.91418644,2025-12-30 16:00:00+00:00,2.91418644,trailing_sl_hit,31.686468302253722
ATOM,2025-12-31 16:00:00+00:00,1.919,-1.0,1.766972,1.9376872142857142,6466.133305302856,3.0,0.9657543301582336,0.9657543301582336,False,8.14,2026-01-05 20:00:00+00:00,False,,,2026-01-01 08:00:00+00:00,1.9376872142857142,sl,-71.3731534303944
UNI,2025-12-31 20:00:00+00:00,5.64,-1.0,5.041364,5.7135840714285715,4310.755536868571,2.0,0.8989003300666809,0.8989003300666809,False,8.14,2026-01-06 00:00:00+00:00,False,,,2026-01-01 12:00:00+00:00,5.7135840714285715,sl,-61.84563881779587
POL,2026-01-01 00:00:00+00:00,0.0992,-1.0,0.0907128,0.10024324285714285,4310.755536868571,2.0,0.9185671806335449,0.9185671806335449,False,8.14,2026-01-06 04:00:00+00:00,False,,,2026-01-01 12:00:00+00:00,0.10024324285714285,sl,-50.938306015743215
FIL,2026-01-01 12:00:00+00:00,1.505,-1.0,1.2512079999999997,1.536196,2109.3384938683016,1.0,0.8193694949150085,0.8193694949150085,False,8.14,2026-01-06 16:00:00+00:00,True,1.487,1.5040558900000003,2026-01-01 16:00:00+00:00,1.5040558900000003,trailing_sl_hit,-1.4189190683110657
SUI,2025-12-31 20:00:00+00:00,1.4043,1.0,1.4692628858233427,1.40873,4310.755536868571,2.0,0.8906202912330627,0.8906202912330627,True,2.6,2026-01-06 00:00:00+00:00,True,1.4766,1.459663398,2026-01-01 20:00:00+00:00,1.4692628858233427,tp,195.10469682654028
