asset,entry_ts,entry_price,direction,take_profit,stop_loss,position_usd,leverage,confidence,entry_confidence,breakeven_activated,rr_ratio,max_hold_bar,exit_ts,exit_price,outcome,pnl_usd,fold,strategy_version,confidence_thresh,tp_atr_mult,sl_atr_mult,rr_ratio_implied
TRX,2025-03-02 16:00:00+00:00,0.24421092867851257,-1.0,0.2254183672540911,0.24325172528624533,2626.1274891446233,2.0,0.8749405741691589,0.8749405741691589,True,8.13,2025-03-07 20:00:00+00:00,2025-03-05 16:00:00+00:00,0.24325172528624533,sl,6.900848632759066,2,v5.1_hunter,0.7861,5.7684,0.7092,8.13
TRX,2025-03-08 04:00:00+00:00,0.24882818758487701,-1.0,0.23187884109120305,0.2478446051478386,1656.5146033232354,1.0,0.8127220869064331,0.8127220869064331,True,8.13,2025-03-13 08:00:00+00:00,2025-03-10 00:00:00+00:00,0.23187884109120305,tp,111.17973701298207,2,v5.1_hunter,0.7861,5.7684,0.7092,8.13
OP,2025-03-09 12:00:00+00:00,0.8763919472694397,-1.0,0.7502396019467246,0.8919015623251697,4969.543809969706,3.0,0.9277229309082031,0.9277229309082031,False,8.13,2025-03-14 16:00:00+00:00,2025-03-10 08:00:00+00:00,0.8919015623251697,sl,-94.40702916390124,2,v5.1_hunter,0.7861,5.7684,0.7092,8.13
SUI,2025-03-10 16:00:00+00:00,2.130460023880005,-1.0,1.599080216331108,2.1957897348924194,1660.7077802855058,1.0,0.8260339498519897,0.8260339498519897,False,8.13,2025-03-15 20:00:00+00:00,2025-03-11 08:00:00+00:00,2.1957897348924194,sl,-53.0838650305078,2,v5.1_hunter,0.7861,5.7684,0.7092,8.13
OP,2025-03-10 16:00:00+00:00,0.8215439915657043,-1.0,0.6434654341167327,0.843437598606048,3321.4155605710116,2.0,0.8744455575942993,0.8744455575942993,False,8.13,2025-03-15 20:00:00+00:00,2025-03-11 12:00:00+00:00,0.843437598606048,sl,-92.83138040111731,2,v5.1_hunter,0.7861,5.7684,0.7092,8.13
LINK,2025-03-10 12:00:00+00:00,13.543039321899414,-1.0,10.978007835907928,13.858393355562328,3321.4155605710116,2.0,0.8922778367996216,0.8922778367996216,False,8.13,2025-03-15 16:00:00+00:00,2025-03-14 08:00:00+00:00,13.858393355562328,sl,-81.65807159048174,2,v5.1_hunter,0.7861,5.7684,0.7092,8.13
ATOM,2025-03-15 00:00:00+00:00,4.36359977722168,-1.0,3.8559603358314143,4.426010763739036,4811.443353089937,3.0,0.9466122388839722,0.9466122388839722,False,8.13,2025-03-20 04:00:00+00:00,2025-03-15 04:00:00+00:00,4.363306522369385,mss_invalidation,-5.931524268570587,2,v5.1_hunter,0.7861,5.7684,0.7092,8.13
ATOM,2025-03-15 08:00:00+00:00,4.457763195037842,-1.0,3.9241905847157597,4.523362496970807,3204.6631399256726,2.0,0.8927903175354004,0.8927903175354004,False,8.13,2025-03-20 12:00:00+00:00,2025-03-15 12:00:00+00:00,4.457913875579834,mss_invalidation,-4.274385552150494,2,v5.1_hunter,0.7861,5.7684,0.7092,8.13
ATOM,2025-03-15 12:00:00+00:00,4.543710231781006,-1.0,3.9860127633168565,4.612275529011961,8006.3148678739935,5.0,0.9884823560714722,0.9884823560714722,False,8.13,2025-03-20 16:00:00+00:00,2025-03-15 16:00:00+00:00,4.543212413787842,mss_invalidation,-9.531021436216426,2,v5.1_hunter,0.7861,5.7684,0.7092,8.13
TRX,2025-03-16 08:00:00+00:00,0.2139916568994522,-1.0,0.20042871200726847,0.21565913326512523,1598.8802182157447,1.0,0.8178419470787048,0.8178419470787048,False,8.13,2025-03-21 12:00:00+00:00,2025-03-17 12:00:00+00:00,0.21565913326512523,sl,-14.537417746535091,2,v5.1_hunter,0.7861,5.7684,0.7092,8.13
ATOM,2025-03-15 16:00:00+00:00,4.7038960456848145,-1.0,4.1211333149504865,4.775542954819907,7994.401091078724,5.0,0.9837131500244141,0.9837131500244141,False,8.13,2025-03-20 20:00:00+00:00,2025-03-18 04:00:00+00:00,4.6562371253967285,mss_invalidation,70.60492832775392,2,v5.1_hunter,0.7861,5.7684,0.7092,8.13
TRX,2025-03-18 16:00:00+00:00,0.230428084731102,-1.0,0.21477265960995437,0.23235281800927976,1612.8970958610494,1.0,0.817844569683075,0.817844569683075,False,8.13,2025-03-23 20:00:00+00:00,2025-03-18 20:00:00+00:00,0.23039740324020386,mss_invalidation,-1.8820090363884565,2,v5.1_hunter,0.7861,5.7684,0.7092,8.13
UNI,2025-03-19 08:00:00+00:00,6.630810260772705,-1.0,5.849088940923541,6.726917841814519,3224.8531872039043,2.0,0.8547404408454895,0.8547404408454895,False,8.13,2025-03-24 12:00:00+00:00,2025-03-19 12:00:00+00:00,6.631664276123047,mss_invalidation,-4.607654179063603,2,v5.1_hunter,0.7861,5.7684,0.7092,8.13
TRX,2025-03-18 20:00:00+00:00,0.23687347769737244,-1.0,0.21868434962278452,0.23910971336873124,4837.279780805857,3.0,0.9261022210121155,0.9261022210121155,False,8.13,2025-03-24 00:00:00+00:00,2025-03-24 00:00:00+00:00,0.22687290608882904,time,199.38804467832287,2,v5.1_hunter,0.7861,5.7684,0.7092,8.13
